Time,precipitation
11-20 Aug 1986,71.04834
21-31 Aug 1986,85.16046
1-10 Sep 1986,40.31235
11-20 Sep 1986,35.64047
21-30 Sep 1986,138.2526
1-10 Oct 1986,166.4229
11-20 Oct 1986,127.1707
21-31 Oct 1986,166.6376
1-10 Nov 1986,152.5382
11-20 Nov 1986,112.1571
21-30 Nov 1986,122.3442
1-10 Dec 1986,83.21886
11-20 Dec 1986,81.47474
21-31 Dec 1986,87.16598
1-10 Jan 1987,103.7781
11-20 Jan 1987,49.43242
21-31 Jan 1987,54.32625
1-10 Feb 1987,59.24744
11-20 Feb 1987,95.43068
21-28 Feb 1987,23.27682
1-10 Mar 1987,91.25057
11-20 Mar 1987,59.44931
21-31 Mar 1987,77.43204
1-10 Apr 1987,110.8514
11-20 Apr 1987,69.99052
21-30 Apr 1987,126.8703
1-10 May 1987,106.3307
11-20 May 1987,108.3425
21-31 May 1987,95.42774
1-10 Jun 1987,79.96212
11-20 Jun 1987,78.40442
21-30 Jun 1987,55.88563
1-10 Jul 1987,63.63884
11-20 Jul 1987,45.21542
21-31 Jul 1987,132.9257
1-10 Aug 1987,73.14196
11-20 Aug 1987,54.78487
21-31 Aug 1987,61.61289
1-10 Sep 1987,51.06043
11-20 Sep 1987,58.65163
21-30 Sep 1987,108.4834
1-10 Oct 1987,114.7458
11-20 Oct 1987,155.8921
21-31 Oct 1987,174.5279
1-10 Nov 1987,72.45287
11-20 Nov 1987,126.2122
21-30 Nov 1987,126.1993
1-10 Dec 1987,110.9328
11-20 Dec 1987,51.92646
21-31 Dec 1987,63.14654
1-10 Jan 1988,51.47453
11-20 Jan 1988,65.32175
21-31 Jan 1988,92.40797
1-10 Feb 1988,57.37457
11-20 Feb 1988,46.84517
21-29 Feb 1988,74.63519
1-10 Mar 1988,66.19577
11-20 Mar 1988,27.09999
21-31 Mar 1988,36.52015
1-10 Apr 1988,85.01601
11-20 Apr 1988,87.42235
21-30 Apr 1988,77.17245
1-10 May 1988,79.42403
11-20 May 1988,132.5369
21-31 May 1988,108.4204
1-10 Jun 1988,80.53504
11-20 Jun 1988,76.32009
21-30 Jun 1988,81.26176
1-10 Jul 1988,89.68694
11-20 Jul 1988,35.23434
21-31 Jul 1988,65.88911
1-10 Aug 1988,50.37528
11-20 Aug 1988,55.32893
21-31 Aug 1988,67.51585
1-10 Sep 1988,65.16948
11-20 Sep 1988,79.64367
21-30 Sep 1988,46.9708
1-10 Oct 1988,76.28687
11-20 Oct 1988,94.96395
21-31 Oct 1988,108.031
1-10 Nov 1988,155.5891
11-20 Nov 1988,197.6361
21-30 Nov 1988,160.3508
1-10 Dec 1988,132.113
11-20 Dec 1988,97.45261
21-31 Dec 1988,117.3311
1-10 Jan 1989,151.9989
11-20 Jan 1989,62.79435
21-31 Jan 1989,159.6715
1-10 Feb 1989,100.5662
11-20 Feb 1989,57.03639
21-28 Feb 1989,44.54127
1-10 Mar 1989,79.2548
11-20 Mar 1989,70.55659
21-31 Mar 1989,31.94242
1-10 Apr 1989,67.0892
11-20 Apr 1989,80.01534
21-30 Apr 1989,99.35439
1-10 May 1989,158.9323
11-20 May 1989,75.5822
21-31 May 1989,99.88942
1-10 Jun 1989,100.8902
11-20 Jun 1989,65.31836
21-30 Jun 1989,79.67822
1-10 Jul 1989,29.83512
11-20 Jul 1989,26.61941
21-31 Jul 1989,106.8641
1-10 Aug 1989,46.04698
11-20 Aug 1989,49.98385
21-31 Aug 1989,92.97078
1-10 Sep 1989,109.1284
11-20 Sep 1989,55.46355
21-30 Sep 1989,108.843
1-10 Oct 1989,134.7187
11-20 Oct 1989,133.4006
21-31 Oct 1989,158.7579
1-10 Nov 1989,79.55119
11-20 Nov 1989,89.13904
21-30 Nov 1989,92.0006
1-10 Dec 1989,83.2717
11-20 Dec 1989,59.56813
21-31 Dec 1989,128.6554
1-10 Jan 1990,96.83711
11-20 Jan 1990,60.94284
21-31 Jan 1990,57.32513
1-10 Feb 1990,134.0358
11-20 Feb 1990,85.27715
21-28 Feb 1990,39.62122
1-10 Mar 1990,50.03751
11-20 Mar 1990,75.00562
21-31 Mar 1990,122.3363
