Time,monthly mean of daily rainfall
Jun 1970,6.270659
Jul 1970,4.538312
Aug 1970,3.096909
Sep 1970,7.223665
Oct 1970,9.088222
Nov 1970,11.84875
Dec 1970,8.126408
Jan 1971,10.02587
Feb 1971,11.95277
Mar 1971,11.5159
Apr 1971,7.822709
May 1971,9.261437
Jun 1971,7.957655
Jul 1971,5.28133
Aug 1971,6.886332
Sep 1971,7.071744
Oct 1971,10.6914
Nov 1971,9.067558
Dec 1971,6.847376
Jan 1972,7.770552
Feb 1972,7.488604
Mar 1972,7.974845
Apr 1972,8.341511
May 1972,10.22493
Jun 1972,7.709662
Jul 1972,4.346488
Aug 1972,5.772853
Sep 1972,5.043847
Oct 1972,8.658237
Nov 1972,9.685493
Dec 1972,6.0177
Jan 1973,3.687647
Feb 1973,3.397268
Mar 1973,5.863589
Apr 1973,7.412087
May 1973,10.42739
Jun 1973,9.243445
Jul 1973,4.37403
Aug 1973,6.471702
Sep 1973,7.097164
Oct 1973,10.10136
Nov 1973,10.47241
Dec 1973,8.480204
Jan 1974,7.559041
Feb 1974,9.512773
Mar 1974,7.124884
Apr 1974,8.54024
May 1974,6.887894
Jun 1974,7.075841
Jul 1974,5.834279
Aug 1974,4.391224
Sep 1974,8.018921
Oct 1974,11.95803
Nov 1974,12.16193
Dec 1974,7.484473
Jan 1975,5.16228
Feb 1975,10.3568
Mar 1975,7.509107
Apr 1975,7.885178
May 1975,12.16769
Jun 1975,9.806522
Jul 1975,7.746408
Aug 1975,5.509791
Sep 1975,8.843445
Oct 1975,9.549427
Nov 1975,10.66099
Dec 1975,10.24848
Jan 1976,5.604728
Feb 1976,6.611035
Mar 1976,7.249035
Apr 1976,7.808302
May 1976,9.919522
Jun 1976,5.067278
Jul 1976,3.866851
Aug 1976,3.879161
Sep 1976,4.32398
Oct 1976,8.884424
Nov 1976,9.170223
Dec 1976,8.030679
Jan 1977,3.827668
Feb 1977,4.645108
Mar 1977,6.559744
Apr 1977,6.573023
May 1977,7.705814
Jun 1977,8.309213
Jul 1977,4.745809
Aug 1977,3.285467
Sep 1977,8.40174
Oct 1977,9.403329
Nov 1977,9.954454
Dec 1977,6.737926
Jan 1978,6.777249
Feb 1978,4.735872
Mar 1978,7.735181
Apr 1978,10.88297
May 1978,7.788519
Jun 1978,6.066537
Jul 1978,5.751146
Aug 1978,2.54455
Sep 1978,6.784469
Oct 1978,6.689
Nov 1978,7.797926
Dec 1978,10.04883
Jan 1979,6.237275
Feb 1979,4.016275
Mar 1979,8.405372
Apr 1979,9.471766
May 1979,10.79323
Jun 1979,6.841463
Jul 1979,5.565828
Aug 1979,6.450008
Sep 1979,5.709374
Oct 1979,7.64765
Nov 1979,9.261776
Dec 1979,4.796228
Jan 1980,6.826073
Feb 1980,8.130687
Mar 1980,4.216845
Apr 1980,6.564975
May 1980,8.893144
Jun 1980,7.557266
Jul 1980,3.337105
Aug 1980,4.187989
Sep 1980,5.482294
Oct 1980,8.908719
Nov 1980,7.718466
Dec 1980,9.060445
Jan 1981,4.76424
Feb 1981,8.000283
Mar 1981,8.116202
Apr 1981,12.68009
May 1981,9.48556
Jun 1981,6.702424
Jul 1981,5.356253
Aug 1981,6.429881
Sep 1981,4.062105
Oct 1981,8.403558
Nov 1981,12.36246
Dec 1981,8.699564
Jan 1982,9.05484
Feb 1982,7.806114
Mar 1982,9.3434
Apr 1982,10.32768
May 1982,10.24438
Jun 1982,4.465314
Jul 1982,3.994841
Aug 1982,2.461729
Sep 1982,7.343816
Oct 1982,9.226106
Nov 1982,9.560295
Dec 1982,9.025715
Jan 1983,4.902453
Feb 1983,4.73804
Mar 1983,9.679506
Apr 1983,10.55711
May 1983,9.303473
Jun 1983,5.577041
Jul 1983,5.256839
Aug 1983,3.834919
Sep 1983,7.77988
Oct 1983,11.17047
Nov 1983,9.731457
Dec 1983,10.2114
Jan 1984,9.724382
Feb 1984,12.61585
Mar 1984,6.942465
Apr 1984,8.163404
May 1984,9.208494
Jun 1984,9.236532
Jul 1984,5.420969
Aug 1984,6.63633
Sep 1984,9.422983
Oct 1984,12.81271
Nov 1984,8.279451
Dec 1984,5.586011
Jan 1985,6.09848
Feb 1985,2.508205
Mar 1985,5.581043
Apr 1985,6.422241
May 1985,7.834728
Jun 1985,4.907934
Jul 1985,5.162052
Aug 1985,6.149057
Sep 1985,8.395567
Oct 1985,7.751893
Nov 1985,8.372039
Dec 1985,7.27678
Jan 1986,8.057279
Feb 1986,9.043009
Mar 1986,6.524573
Apr 1986,10.07817
May 1986,9.232055
Jun 1986,7.859651
Jul 1986,2.887663
Aug 1986,4.254672
Sep 1986,6.576262
Oct 1986,12.23048
Nov 1986,7.432033
Dec 1986,3.220663
Jan 1987,3.906621
Feb 1987,4.688716
Mar 1987,5.634472
Apr 1987,6.693583
May 1987,9.446682
Jun 1987,4.187489
Jul 1987,5.864234
Aug 1987,3.464785
Sep 1987,6.241905
Oct 1987,10.59128
Nov 1987,6.007987
Dec 1987,4.072896
Jan 1988,5.752836
Feb 1988,6.422251
Mar 1988,3.09001
Apr 1988,9.807919
May 1988,7.681416
Jun 1988,8.46069
Jul 1988,6.850306
Aug 1988,6.739331
Sep 1988,9.04799
Oct 1988,8.594969
Nov 1988,14.66944
Dec 1988,8.912059
Jan 1989,8.689431
Feb 1989,8.445996
Mar 1989,7.728918
Apr 1989,6.304961
May 1989,8.602464
Jun 1989,8.703187
Jul 1989,6.014005
Aug 1989,3.488395
Sep 1989,6.538157
Oct 1989,9.067626
Nov 1989,6.452023
Dec 1989,7.276851
Jan 1990,8.183172
Feb 1990,10.32415
Mar 1990,6.797191
Apr 1990,8.113354
May 1990,6.496981
Jun 1990,4.411619
Jul 1990,4.873051
Aug 1990,3.836735
Sep 1990,5.461115
Oct 1990,10.80309
Nov 1990,8.474096
Dec 1990,7.63548
Jan 1991,3.221768
Feb 1991,5.32161
Mar 1991,7.90725
Apr 1991,7.287693
May 1991,7.367011
Jun 1991,6.591334
Jul 1991,5.076166
Aug 1991,4.949358
Sep 1991,6.544195
Oct 1991,4.438624
Nov 1991,9.11777
Dec 1991,3.419599
Jan 1992,3.890141
Feb 1992,7.633112
Mar 1992,3.625965
Apr 1992,5.408289
May 1992,7.245839
Jun 1992,3.392035
Jul 1992,5.330135
Aug 1992,2.506694
Sep 1992,9.203088
Oct 1992,5.649966
Nov 1992,8.405308
Dec 1992,8.824252
